"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
4,"Affair Prejudice","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,1,5,"2.99",117,"26.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'affair':1 'chase':14 'documentari':5 'fanci':4 'frisbe':8 'lumberjack':11 'monkey':16 'must':13 'prejudic':2 'shark':19 'tank':20"
5,"African Egg","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico",2006,1,6,"2.99",130,"22.99","G","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'african':1 'chef':11 'dentist':14 'documentari':7 'egg':2 'fast':5 'fast-pac':4 'forens':19 'gulf':23 'mexico':25 'must':16 'pace':6 'pastri':10 'psychologist':20 'pursu':17"
43,"Atlantis Cause","A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank",2006,1,6,"2.99",170,"15.99","G","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'atlanti':1 'caus':2 'feminist':8 'fight':14 'hunter':11 'must':13 'shark':20 'tank':21 'technic':16 'thrill':4 'writer':17 'yarn':5"
46,"Autumn Crow","A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert",2006,1,3,"4.99",108,"13.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'autumn':1 'battl':15 'beauti':4 'cow':12 'crow':2 'dentist':8 'desert':21 'mad':11 'moos':17 'must':14 'sahara':20 'tale':5"
50,"Baked Cleopatra","A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery",2006,1,3,"2.99",182,"20.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'bake':1 'cleopatra':2 'drama':5 'forens':8 'husband':12 'monasteri':20 'must':14 'overcom':15 'psychologist':9 'stun':4 'waitress':17"
126,"Casualties Encino","A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery",2006,1,3,"4.99",179,"16.99","G","2013-05-26 14:50:58.951","{Trailers}","'boy':18 'casualti':1 'chef':13 'encino':2 'face':16 'insight':4 'monasteri':21 'must':15 'pastri':12 'shark':9 'yarn':5"
56,"Barefoot Manchurian","A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park",2006,1,6,"2.99",129,"15.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':19 'amus':20 'barefoot':1 'cat':8 'girl':16 'intrepid':4 'manchurian':2 'must':13 'park':21 'stori':5 'student':11 'vanquish':14"
58,"Beach Heartbreakers","A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia",2006,1,6,"2.99",122,"16.99","G","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'beach':1 'display':5 'fate':4 'georgia':21 'heartbreak':2 'mad':11 'must':14 'outgun':15 'scientist':12 'shark':18 'soviet':20 'woman':8"
61,"Beauty Grease","A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft",2006,1,5,"4.99",175,"28.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':21 'beauti':1 'compos':10 'display':7 'fast':5 'fast-pac':4 'greas':2 'mine':22 'moos':13 'must':15 'pace':6 'robot':18 'shaft':23 'sink':16"
75,"Bird Independence","A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies",2006,1,6,"4.99",163,"14.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'bird':1 'canadian':19 'car':8 'documentari':5 'hunter':16 'independ':2 'must':13 'rocki':20 'sink':14 'student':11 'thrill':4"
