"film_id","title"
133,"Chamber Italian"
384,"Grosse Wonderful"
8,"Airport Pollock"
98,"Bright Encounters"
2,"Ace Goldfinger"
3,"Adaptation Holes"
4,"Affair Prejudice"
5,"African Egg"
6,"Agent Truman"
7,"Airplane Sierra"
9,"Alabama Devil"
10,"Aladdin Calendar"
13,"Ali Forever"
15,"Alien Center"
16,"Alley Evolution"
20,"Amelie Hellfighters"
21,"American Circus"
22,"Amistad Midsummer"
24,"Analyze Hoosiers"
25,"Angels Life"
28,"Anthem Luke"
29,"Antitrust Tomatoes"
30,"Anything Savannah"
31,"Apache Divine"
32,"Apocalypse Flamingos"
33,"Apollo Teen"
35,"Arachnophobia Rollercoaster"
37,"Arizona Bang"
42,"Artist Coldblooded"
265,"Dying Maker"
43,"Atlantis Cause"
44,"Attacks Hate"
45,"Attraction Newton"
46,"Autumn Crow"
47,"Baby Hall"
48,"Backlash Undefeated"
49,"Badman Dawn"
50,"Baked Cleopatra"
126,"Casualties Encino"
51,"Balloon Homeward"
53,"Bang Kwai"
55,"Barbarella Streetcar"
56,"Barefoot Manchurian"
57,"Basic Easy"
58,"Beach Heartbreakers"
59,"Bear Graceland"
60,"Beast Hunchback"
61,"Beauty Grease"
62,"Bed Highball"
65,"Behavior Runaway"
67,"Berets Agent"
68,"Betrayed Rear"
69,"Beverly Outlaw"
70,"Bikini Borrowers"
71,"Bilko Anonymous"
72,"Bill Others"
73,"Bingo Talented"
74,"Birch Antitrust"
75,"Bird Independence"
77,"Birds Perdition"
78,"Blackout Private"
80,"Blanket Beverly"
81,"Blindness Gun"
83,"Blues Instinct"
84,"Boiled Dares"
86,"Boogie Amelie"
88,"Born Spinal"
92,"Bowfinger Gables"
93,"Brannigan Sunrise"
94,"Braveheart Human"
95,"Breakfast Goldfinger"
96,"Breaking Home"
99,"Bringing Hysterical"
100,"Brooklyn Desert"
102,"Bubble Grosse"
103,"Bucket Brotherhood"
104,"Bugsy Song"
106,"Bulworth Commandments"
107,"Bunch Minds"
112,"Calendar Gunfight"
113,"California Birds"
115,"Campus Remember"
116,"Candidate Perdition"
117,"Candles Grapes"
120,"Caribbean Liberty"
121,"Carol Texas"
123,"Casablanca Super"
124,"Casper Dragonfly"
125,"Cassidy Wyoming"
127,"Cat Coneheads"
129,"Cause Date"
131,"Center Dinosaur"
134,"Champion Flatliners"
135,"Chance Resurrection"
154,"Clash Freddy"
136,"Chaplin License"
137,"Charade Duffel"
138,"Chariots Conspiracy"
139,"Chasing Fight"
141,"Chicago North"
144,"Chinatown Gladiator"
145,"Chisum Behavior"
